image_path,model_name,patch_size,orig_class,orig_logit,pert_class,pert_logit_target,pert_logit_pred,attack_success,patch_pos_y,patch_pos_x,time_seconds
/kaggle/input/imagenet1kvalid/00481/537486878042953.jpg,resnet18,64,549,-0.6805,446,-2.8757,4.8002,True,36,160,1.41
/kaggle/input/imagenet1kvalid/00481/537486878042953.jpg,resnet18,32,549,-0.6805,446,-2.7245,2.2965,True,66,192,1.35
/kaggle/input/imagenet1kvalid/00962/270155546026816.jpg,resnet18,128,962,1.3515,935,-3.3126,12.9906,True,96,96,1.42
/kaggle/input/imagenet1kvalid/00962/270155546026816.jpg,resnet18,64,962,1.3515,935,-2.5618,3.6238,True,160,160,1.35
/kaggle/input/imagenet1kvalid/00962/270155546026816.jpg,resnet18,32,962,1.3515,935,-0.9036,-0.2891,True,192,192,1.35
/kaggle/input/imagenet1kvalid/00873/3728300908772744.jpg,resnet18,128,873,9.8757,406,-4.8820,7.9889,True,41,72,1.42
/kaggle/input/imagenet1kvalid/00873/3728300908772744.jpg,resnet18,64,873,9.8757,406,-2.3464,-1.0487,True,76,91,1.35
/kaggle/input/imagenet1kvalid/00873/3728300908772744.jpg,resnet18,32,873,9.8757,873,4.5141,4.5141,False,93,90,1.35
/kaggle/input/imagenet1kvalid/00869/3346721932374248.jpg,resnet18,128,513,-2.1296,652,-5.5680,36.7878,True,0,0,1.41
/kaggle/input/imagenet1kvalid/00869/3346721932374248.jpg,resnet18,64,513,-2.1296,652,-4.7022,13.1675,True,23,0,1.37
/kaggle/input/imagenet1kvalid/00869/3346721932374248.jpg,resnet18,32,513,-2.1296,875,-1.8423,6.3413,True,38,0,1.40
/kaggle/input/imagenet1kvalid/00295/410132663048604.jpg,resnet18,128,367,-1.6603,743,-4.9495,19.8235,True,48,18,1.34
/kaggle/input/imagenet1kvalid/00295/410132663048604.jpg,resnet18,64,367,-1.6603,743,-4.7751,8.4444,True,74,59,1.42
/kaggle/input/imagenet1kvalid/00295/410132663048604.jpg,resnet18,32,367,-1.6603,295,-4.3658,6.5069,True,75,85,1.35
/kaggle/input/imagenet1kvalid/00099/886943376727197.jpg,resnet18,128,99,3.3083,8,-5.8796,27.0079,True,49,72,1.34
/kaggle/input/imagenet1kvalid/00099/886943376727197.jpg,resnet18,64,99,3.3083,8,-4.0510,9.7105,True,89,142,1.41
/kaggle/input/imagenet1kvalid/00099/886943376727197.jpg,resnet18,32,99,3.3083,8,-3.2672,3.0158,True,69,156,1.43
/kaggle/input/imagenet1kvalid/00139/3543314439284786.jpg,resnet18,128,139,-0.7294,98,-6.8124,53.3456,True,40,40,1.35
/kaggle/input/imagenet1kvalid/00139/3543314439284786.jpg,resnet18,64,139,-0.7294,97,-5.8898,28.2042,True,84,44,1.34
/kaggle/input/imagenet1kvalid/00139/3543314439284786.jpg,resnet18,32,139,-0.7294,97,-4.6341,16.9989,True,116,48,1.43
/kaggle/input/imagenet1kvalid/00466/451932167077076.jpg,resnet18,128,466,6.7178,877,-4.6903,37.1147,True,36,0,1.35
/kaggle/input/imagenet1kvalid/00466/451932167077076.jpg,resnet18,64,466,6.7178,877,-2.5117,13.5114,True,64,0,1.34
/kaggle/input/imagenet1kvalid/00466/451932167077076.jpg,resnet18,32,466,6.7178,877,-0.7440,3.5356,True,90,0,1.43
/kaggle/input/imagenet1kvalid/00587/403100439871438.jpg,resnet18,128,784,-0.9722,587,-4.0585,18.8426,True,28,96,1.42
/kaggle/input/imagenet1kvalid/00587/403100439871438.jpg,resnet18,64,784,-0.9722,587,-4.0141,8.8396,True,78,91,1.35
/kaggle/input/imagenet1kvalid/00587/403100439871438.jpg,resnet18,32,784,-0.9722,587,-3.6884,2.7898,True,100,104,1.35
/kaggle/input/imagenet1kvalid/00383/098228526023942.jpg,resnet18,128,280,0.0268,42,-7.0198,42.9484,True,58,34,1.42
/kaggle/input/imagenet1kvalid/00383/098228526023942.jpg,resnet18,64,280,0.0268,351,-5.6704,20.6158,True,66,88,1.35
/kaggle/input/imagenet1kvalid/00383/098228526023942.jpg,resnet18,32,280,0.0268,351,-4.4064,9.7549,True,66,120,1.35
/kaggle/input/imagenet1kvalid/00640/1320462470686552.jpg,resnet18,128,640,8.8395,828,-2.6003,13.1624,True,36,0,1.42
/kaggle/input/imagenet1kvalid/00640/1320462470686552.jpg,resnet18,64,640,8.8395,640,2.3543,2.3543,False,50,0,1.42
/kaggle/input/imagenet1kvalid/00640/1320462470686552.jpg,resnet18,32,640,8.8395,640,4.2937,4.2937,False,56,0,1.35
/kaggle/input/imagenet1kvalid/00594/597506237893377.jpg,resnet18,128,160,-0.7174,840,-6.5024,30.6208,True,96,47,1.34
/kaggle/input/imagenet1kvalid/00594/597506237893377.jpg,resnet18,64,160,-0.7174,840,-5.1504,18.0012,True,160,64,1.42
/kaggle/input/imagenet1kvalid/00594/597506237893377.jpg,resnet18,32,160,-0.7174,793,-4.9787,2.6665,True,164,88,1.38
/kaggle/input/imagenet1kvalid/00787/595593553700156.jpg,resnet18,128,640,-1.8564,835,-5.9186,42.2608,True,0,96,1.37
/kaggle/input/imagenet1kvalid/00787/595593553700156.jpg,resnet18,64,640,-1.8564,835,-4.3134,12.5001,True,0,160,1.35
/kaggle/input/imagenet1kvalid/00787/595593553700156.jpg,resnet18,32,640,-1.8564,835,-3.4967,4.7362,True,0,192,1.43
/kaggle/input/imagenet1kvalid/00437/718590422440626.jpg,resnet18,128,437,1.8456,442,-5.8949,22.5247,True,34,96,1.35
/kaggle/input/imagenet1kvalid/00437/718590422440626.jpg,resnet18,64,437,1.8456,442,-5.7704,16.2837,True,59,144,1.34
/kaggle/input/imagenet1kvalid/00437/718590422440626.jpg,resnet18,32,437,1.8456,442,-4.4525,6.1007,True,66,144,1.43
/kaggle/input/imagenet1kvalid/00027/656960287502912.jpg,resnet18,128,26,0.7049,307,-7.1830,40.3994,True,50,46,1.42
/kaggle/input/imagenet1kvalid/00027/656960287502912.jpg,resnet18,64,26,0.7049,307,-7.2215,29.6167,True,74,88,1.35
/kaggle/input/imagenet1kvalid/00027/656960287502912.jpg,resnet18,32,26,0.7049,31,-6.0081,12.7600,True,96,122,1.35
/kaggle/input/imagenet1kvalid/00118/676754509149662.jpg,resnet18,128,118,4.1925,121,-5.2523,27.9862,True,38,52,1.42
/kaggle/input/imagenet1kvalid/00118/676754509149662.jpg,resnet18,64,118,4.1925,121,-3.9755,17.4206,True,52,94,1.35
/kaggle/input/imagenet1kvalid/00118/676754509149662.jpg,resnet18,32,118,4.1925,125,-1.9429,11.6488,True,77,102,1.35
/kaggle/input/imagenet1kvalid/00544/7003622866158203.jpg,resnet18,128,544,-2.4617,491,-4.8965,53.9455,True,96,27,1.42
/kaggle/input/imagenet1kvalid/00544/7003622866158203.jpg,resnet18,64,544,-2.4617,491,-4.5715,27.1114,True,123,46,1.35
/kaggle/input/imagenet1kvalid/00544/7003622866158203.jpg,resnet18,32,544,-2.4617,491,-4.1174,12.3749,True,152,56,1.43
/kaggle/input/imagenet1kvalid/00946/508619405161609.jpg,resnet18,128,946,1.7477,944,-2.4521,9.2429,True,40,34,1.34
/kaggle/input/imagenet1kvalid/00946/508619405161609.jpg,resnet18,64,946,1.7477,944,-2.5221,-0.0659,True,62,57,1.42
/kaggle/input/imagenet1kvalid/00946/508619405161609.jpg,resnet18,32,946,1.7477,309,-2.4065,4.5421,True,69,62,1.35
/kaggle/input/imagenet1kvalid/00153/6168335920446255.jpg,resnet18,128,203,0.3503,190,-4.1314,17.6345,True,24,96,1.34
/kaggle/input/imagenet1kvalid/00153/6168335920446255.jpg,resnet18,64,203,0.3503,188,-4.0154,12.9706,True,50,134,1.43
/kaggle/input/imagenet1kvalid/00153/6168335920446255.jpg,resnet18,32,203,0.3503,153,-3.4605,6.4206,True,80,146,1.35
/kaggle/input/imagenet1kvalid/00428/548371071789766.jpg,resnet18,128,428,3.4677,870,-2.6541,33.1150,True,56,0,1.40
/kaggle/input/imagenet1kvalid/00428/548371071789766.jpg,resnet18,64,428,3.4677,870,-3.9367,17.6003,True,92,0,1.35
/kaggle/input/imagenet1kvalid/00428/548371071789766.jpg,resnet18,32,428,3.4677,870,-2.3556,5.0842,True,121,0,1.43
/kaggle/input/imagenet1kvalid/00158/219007705214352.jpg,resnet18,128,151,0.8758,327,-6.6943,51.8634,True,0,48,1.35
/kaggle/input/imagenet1kvalid/00158/219007705214352.jpg,resnet18,64,151,0.8758,268,-5.2635,23.0065,True,34,74,1.34
/kaggle/input/imagenet1kvalid/00158/219007705214352.jpg,resnet18,32,151,0.8758,850,-4.4912,9.8492,True,56,85,1.41
/kaggle/input/imagenet1kvalid/00503/0032446329359175.jpg,resnet18,128,503,7.2569,711,-4.2835,27.1954,True,0,72,1.42
/kaggle/input/imagenet1kvalid/00503/0032446329359175.jpg,resnet18,64,503,7.2569,711,-3.2904,9.2163,True,0,100,1.35
/kaggle/input/imagenet1kvalid/00503/0032446329359175.jpg,resnet18,32,503,7.2569,503,0.0372,0.0372,False,0,113,1.43
/kaggle/input/imagenet1kvalid/00425/255029704350264.jpg,resnet18,128,425,-0.1757,853,-5.1512,52.7701,True,70,28,1.34
/kaggle/input/imagenet1kvalid/00425/255029704350264.jpg,resnet18,64,425,-0.1757,915,-6.5193,34.3569,True,125,57,1.43
/kaggle/input/imagenet1kvalid/00425/255029704350264.jpg,resnet18,32,425,-0.1757,915,-5.4292,14.6309,True,125,61,1.39
/kaggle/input/imagenet1kvalid/00966/8872576207836484.jpg,resnet18,128,966,0.4023,572,-4.5671,25.2763,True,14,96,1.36
/kaggle/input/imagenet1kvalid/00966/8872576207836484.jpg,resnet18,64,966,0.4023,845,-5.7497,12.5389,True,66,110,1.34
/kaggle/input/imagenet1kvalid/00966/8872576207836484.jpg,resnet18,32,966,0.4023,845,-4.5904,5.6072,True,88,114,1.43
/kaggle/input/imagenet1kvalid/00009/908345617326618.jpg,resnet18,128,9,15.1227,958,-4.2367,30.4545,True,12,0,1.35
/kaggle/input/imagenet1kvalid/00009/908345617326618.jpg,resnet18,64,9,15.1227,958,2.0035,9.0662,True,40,0,1.42
/kaggle/input/imagenet1kvalid/00009/908345617326618.jpg,resnet18,32,9,15.1227,9,4.8362,4.8362,False,40,0,1.35
/kaggle/input/imagenet1kvalid/00593/7575976739067325.jpg,resnet18,128,819,-1.4149,593,-4.0968,41.6479,True,23,37,1.42
/kaggle/input/imagenet1kvalid/00593/7575976739067325.jpg,resnet18,64,819,-1.4149,122,-5.1330,18.7658,True,67,60,1.37
/kaggle/input/imagenet1kvalid/00593/7575976739067325.jpg,resnet18,32,819,-1.4149,122,-5.1496,8.4824,True,76,84,1.41
/kaggle/input/imagenet1kvalid/00462/829802655931883.jpg,resnet18,128,501,-3.3826,655,-6.0741,13.1476,True,0,48,1.34
/kaggle/input/imagenet1kvalid/00462/829802655931883.jpg,resnet18,64,501,-3.3826,824,-4.5915,4.9613,True,0,64,1.42
/kaggle/input/imagenet1kvalid/00462/829802655931883.jpg,resnet18,32,501,-3.3826,578,-4.3031,2.1307,True,0,72,1.41
/kaggle/input/imagenet1kvalid/00161/708613611722733.jpg,resnet18,128,161,7.9463,166,-4.1570,8.3990,True,0,0,1.35
/kaggle/input/imagenet1kvalid/00161/708613611722733.jpg,resnet18,64,161,7.9463,166,-3.2414,2.6624,True,32,40,1.34
/kaggle/input/imagenet1kvalid/00161/708613611722733.jpg,resnet18,32,161,7.9463,166,-0.6996,-0.0970,True,57,48,1.43
/kaggle/input/imagenet1kvalid/00504/27706495544911003.jpg,resnet18,128,503,-1.8031,441,-5.3463,29.8365,True,0,30,1.41
/kaggle/input/imagenet1kvalid/00504/27706495544911003.jpg,resnet18,64,503,-1.8031,441,-5.1376,20.3193,True,32,56,1.35
/kaggle/input/imagenet1kvalid/00504/27706495544911003.jpg,resnet18,32,503,-1.8031,441,-4.3534,13.4645,True,64,84,1.35
/kaggle/input/imagenet1kvalid/00934/881072892412105.jpg,resnet18,128,934,2.0884,29,-5.6163,23.9082,True,42,0,1.42
/kaggle/input/imagenet1kvalid/00934/881072892412105.jpg,resnet18,64,934,2.0884,954,-4.3195,8.7865,True,49,52,1.42
/kaggle/input/imagenet1kvalid/00934/881072892412105.jpg,resnet18,32,934,2.0884,954,-2.3869,4.1204,True,64,64,1.35
/kaggle/input/imagenet1kvalid/00563/174886914903794.jpg,resnet18,128,563,-0.8360,494,-5.2358,25.3337,True,0,24,1.40
/kaggle/input/imagenet1kvalid/00563/174886914903794.jpg,resnet18,64,563,-0.8360,494,-4.6021,14.0071,True,0,49,1.35
/kaggle/input/imagenet1kvalid/00563/174886914903794.jpg,resnet18,32,563,-0.8360,494,-2.4508,4.2905,True,15,29,1.43
/kaggle/input/imagenet1kvalid/00954/723748249067867.jpg,resnet18,128,727,-3.1057,51,-6.5326,64.5279,True,28,54,1.38
/kaggle/input/imagenet1kvalid/00954/723748249067867.jpg,resnet18,64,727,-3.1057,51,-5.9930,22.6229,True,56,68,1.38
/kaggle/input/imagenet1kvalid/00954/723748249067867.jpg,resnet18,32,727,-3.1057,51,-4.9530,5.3361,True,60,95,1.35
/kaggle/input/imagenet1kvalid/00299/962420626893094.jpg,resnet18,128,281,-3.6272,293,-7.2564,22.1239,True,96,96,1.40
/kaggle/input/imagenet1kvalid/00299/962420626893094.jpg,resnet18,64,281,-3.6272,287,-5.3100,10.4783,True,128,99,1.42
/kaggle/input/imagenet1kvalid/00299/962420626893094.jpg,resnet18,32,281,-3.6272,298,-6.0633,4.6418,True,156,104,1.35
/kaggle/input/imagenet1kvalid/00482/574525580640582.jpg,resnet18,128,482,-1.4874,686,-5.0000,24.6282,True,47,24,1.40
/kaggle/input/imagenet1kvalid/00482/574525580640582.jpg,resnet18,64,482,-1.4874,485,-3.8624,6.0231,True,66,64,1.35
/kaggle/input/imagenet1kvalid/00482/574525580640582.jpg,resnet18,32,482,-1.4874,485,-4.4545,1.6848,True,98,78,1.43
/kaggle/input/imagenet1kvalid/00657/489829163582039.jpg,resnet18,128,595,-1.7900,657,-6.4893,14.2545,True,96,59,1.37
/kaggle/input/imagenet1kvalid/00657/489829163582039.jpg,resnet18,64,595,-1.7900,609,-4.6079,11.9209,True,160,0,1.40
/kaggle/input/imagenet1kvalid/00657/489829163582039.jpg,resnet18,32,595,-1.7900,657,-4.4010,-0.1755,True,156,158,1.35
/kaggle/input/imagenet1kvalid/00245/710385883118158.jpg,resnet18,128,245,-0.3507,179,-4.4537,17.7693,True,0,56,1.42
/kaggle/input/imagenet1kvalid/00245/710385883118158.jpg,resnet18,64,245,-0.3507,179,-4.5630,11.2443,True,0,92,1.38
/kaggle/input/imagenet1kvalid/00245/710385883118158.jpg,resnet18,32,245,-0.3507,179,-4.1891,5.6819,True,28,88,1.37
/kaggle/input/imagenet1kvalid/00141/998646369625436.jpg,resnet18,128,141,4.6040,139,-6.1195,37.8544,True,68,96,1.34
/kaggle/input/imagenet1kvalid/00141/998646369625436.jpg,resnet18,64,141,4.6040,12,-5.8329,32.8362,True,102,122,1.42
/kaggle/input/imagenet1kvalid/00141/998646369625436.jpg,resnet18,32,141,4.6040,139,-5.9339,22.0238,True,104,130,1.41
/kaggle/input/imagenet1kvalid/00773/170656848238298.jpg,resnet18,128,773,2.4849,883,-3.7572,20.0510,True,0,96,1.35
/kaggle/input/imagenet1kvalid/00773/170656848238298.jpg,resnet18,64,773,2.4849,883,-1.7064,12.0155,True,8,125,1.34
/kaggle/input/imagenet1kvalid/00773/170656848238298.jpg,resnet18,32,773,2.4849,883,-1.0793,3.3590,True,21,134,1.43
/kaggle/input/imagenet1kvalid/00319/710500523676761.jpg,resnet18,128,319,5.3604,318,-5.6394,41.1942,True,28,0,1.35
/kaggle/input/imagenet1kvalid/00319/710500523676761.jpg,resnet18,64,319,5.3604,318,-5.2249,18.8385,True,112,100,1.41
/kaggle/input/imagenet1kvalid/00319/710500523676761.jpg,resnet18,32,319,5.3604,318,1.0920,1.9340,True,192,192,1.35
/kaggle/input/imagenet1kvalid/00101/4674350869845008.jpg,resnet18,128,101,0.4519,386,-2.9827,14.8255,True,54,92,1.42
/kaggle/input/imagenet1kvalid/00101/4674350869845008.jpg,resnet18,64,101,0.4519,386,-2.2934,7.8788,True,98,109,1.37
/kaggle/input/imagenet1kvalid/00101/4674350869845008.jpg,resnet18,32,101,0.4519,386,-2.3664,3.3538,True,96,104,1.41
/kaggle/input/imagenet1kvalid/00733/789300380408484.jpg,resnet18,128,557,4.7241,900,-5.4514,19.9590,True,0,0,1.34
/kaggle/input/imagenet1kvalid/00733/789300380408484.jpg,resnet18,64,557,4.7241,900,-3.2942,11.9370,True,0,10,1.42
/kaggle/input/imagenet1kvalid/00733/789300380408484.jpg,resnet18,32,557,4.7241,900,-2.0874,0.3165,True,0,33,1.35
/kaggle/input/imagenet1kvalid/00335/380290780593429.jpg,resnet18,128,335,3.5587,104,-4.8816,38.3277,True,0,42,1.42
/kaggle/input/imagenet1kvalid/00335/380290780593429.jpg,resnet18,64,335,3.5587,298,-5.9931,24.1514,True,0,86,1.34
/kaggle/input/imagenet1kvalid/00335/380290780593429.jpg,resnet18,32,335,3.5587,104,-3.5222,14.0626,True,0,94,1.43
/kaggle/input/imagenet1kvalid/00710/849108169862513.jpg,resnet18,128,674,-1.5687,626,-6.0312,20.8534,True,54,0,1.42
/kaggle/input/imagenet1kvalid/00710/849108169862513.jpg,resnet18,64,674,-1.5687,710,-3.3502,10.8763,True,118,0,1.35
/kaggle/input/imagenet1kvalid/00710/849108169862513.jpg,resnet18,32,674,-1.5687,450,-4.3352,6.0889,True,120,0,1.35
/kaggle/input/imagenet1kvalid/00390/300288696096728.jpg,resnet18,128,515,-2.4227,523,-6.3984,25.9744,True,0,45,1.42
/kaggle/input/imagenet1kvalid/00390/300288696096728.jpg,resnet18,64,515,-2.4227,523,-5.9530,4.6482,True,0,90,1.42
/kaggle/input/imagenet1kvalid/00390/300288696096728.jpg,resnet18,32,515,-2.4227,523,-5.2304,-1.3598,True,0,86,1.35
/kaggle/input/imagenet1kvalid/00812/840819941710541.jpg,resnet18,128,812,-0.3024,404,-6.1131,27.0420,True,34,50,1.34
/kaggle/input/imagenet1kvalid/00812/840819941710541.jpg,resnet18,64,812,-0.3024,404,-6.0222,19.4415,True,54,76,1.42
/kaggle/input/imagenet1kvalid/00812/840819941710541.jpg,resnet18,32,812,-0.3024,17,-6.7050,21.4094,True,56,85,1.43
/kaggle/input/imagenet1kvalid/00653/3821628299430266.jpg,resnet18,128,653,3.5219,899,-5.9438,7.2938,True,0,0,1.35
/kaggle/input/imagenet1kvalid/00653/3821628299430266.jpg,resnet18,64,653,3.5219,899,-4.4579,1.7328,True,0,22,1.42
/kaggle/input/imagenet1kvalid/00653/3821628299430266.jpg,resnet18,32,653,3.5219,898,-2.1614,-1.1572,True,0,40,1.35
/kaggle/input/imagenet1kvalid/00372/598326916152774.jpg,resnet18,128,372,1.3560,104,-6.0913,32.4628,True,0,64,1.42
/kaggle/input/imagenet1kvalid/00372/598326916152774.jpg,resnet18,64,372,1.3560,373,-4.1726,13.8327,True,74,64,1.37
/kaggle/input/imagenet1kvalid/00372/598326916152774.jpg,resnet18,32,372,1.3560,373,-4.2025,9.8945,True,106,96,1.41
/kaggle/input/imagenet1kvalid/00755/387231275921089.jpg,resnet18,128,755,6.5097,545,-3.5595,25.9097,True,0,96,1.34
/kaggle/input/imagenet1kvalid/00755/387231275921089.jpg,resnet18,64,755,6.5097,807,-3.2133,15.7973,True,86,112,1.42
/kaggle/input/imagenet1kvalid/00755/387231275921089.jpg,resnet18,32,755,6.5097,807,-2.4435,2.8193,True,100,116,1.43
/kaggle/input/imagenet1kvalid/00927/9033726834828455.jpg,resnet18,128,927,10.2760,957,-3.3551,19.6023,True,96,50,1.35
/kaggle/input/imagenet1kvalid/00927/9033726834828455.jpg,resnet18,64,927,10.2760,957,-1.3428,4.9577,True,106,114,1.36
/kaggle/input/imagenet1kvalid/00927/9033726834828455.jpg,resnet18,32,927,10.2760,927,1.0795,1.0795,False,122,130,1.39
/kaggle/input/imagenet1kvalid/00587/3902107316924177.jpg,resnet18,128,822,-0.6069,469,-6.3141,33.8006,True,96,66,1.42
/kaggle/input/imagenet1kvalid/00587/3902107316924177.jpg,resnet18,64,822,-0.6069,778,-6.5539,10.5904,True,160,98,1.35
/kaggle/input/imagenet1kvalid/00587/3902107316924177.jpg,resnet18,32,822,-0.6069,469,-4.6585,5.4285,True,192,117,1.43
/kaggle/input/imagenet1kvalid/00427/904016488676276.jpg,resnet18,128,427,1.4966,469,-2.7873,31.5256,True,34,0,1.34
/kaggle/input/imagenet1kvalid/00427/904016488676276.jpg,resnet18,64,427,1.4966,469,-1.2313,15.4508,True,34,0,1.42
/kaggle/input/imagenet1kvalid/00427/904016488676276.jpg,resnet18,32,427,1.4966,469,-0.0683,8.6805,True,56,0,1.66
/kaggle/input/imagenet1kvalid/00193/9038117444872265.jpg,resnet18,128,193,-1.7865,265,-5.9104,13.2642,True,13,0,1.33
/kaggle/input/imagenet1kvalid/00193/9038117444872265.jpg,resnet18,64,193,-1.7865,265,-5.9412,7.0521,True,60,8,1.40
/kaggle/input/imagenet1kvalid/00193/9038117444872265.jpg,resnet18,32,193,-1.7865,265,-5.3791,3.3345,True,56,12,1.33
/kaggle/input/imagenet1kvalid/00406/5439071539888203.jpg,resnet18,128,406,0.8978,497,-3.2140,11.5579,True,24,54,1.41
/kaggle/input/imagenet1kvalid/00406/5439071539888203.jpg,resnet18,64,406,0.8978,497,-2.6485,3.8856,True,79,73,1.42
/kaggle/input/imagenet1kvalid/00406/5439071539888203.jpg,resnet18,32,406,0.8978,497,-1.2214,1.0664,True,120,104,1.33
/kaggle/input/imagenet1kvalid/00253/440610373300925.jpg,resnet18,128,253,-0.8804,263,-6.1737,18.5347,True,62,22,1.33
/kaggle/input/imagenet1kvalid/00253/440610373300925.jpg,resnet18,64,253,-0.8804,263,-6.0057,12.1253,True,69,66,1.39
/kaggle/input/imagenet1kvalid/00253/440610373300925.jpg,resnet18,32,253,-0.8804,263,-5.8613,6.5235,True,94,85,1.41
/kaggle/input/imagenet1kvalid/00245/506634680404145.jpg,resnet18,128,245,4.9407,338,-6.7399,61.3799,True,34,0,1.33
/kaggle/input/imagenet1kvalid/00245/506634680404145.jpg,resnet18,64,245,4.9407,236,-6.1907,9.2446,True,79,0,1.41
/kaggle/input/imagenet1kvalid/00245/506634680404145.jpg,resnet18,32,245,4.9407,262,-4.5869,11.1190,True,90,24,1.33
/kaggle/input/imagenet1kvalid/00667/541761116348536.jpg,resnet18,128,831,-1.6096,563,-6.6560,17.7889,True,56,0,1.41
/kaggle/input/imagenet1kvalid/00667/541761116348536.jpg,resnet18,64,831,-1.6096,563,-6.4174,7.6077,True,88,50,1.41
/kaggle/input/imagenet1kvalid/00667/541761116348536.jpg,resnet18,32,831,-1.6096,563,-4.2808,4.5610,True,72,0,1.33
/kaggle/input/imagenet1kvalid/00807/070885935167304.jpg,resnet18,128,807,9.9646,701,-4.4431,28.9068,True,30,62,1.35
/kaggle/input/imagenet1kvalid/00807/070885935167304.jpg,resnet18,64,807,9.9646,510,-2.8170,14.5612,True,32,80,1.37
/kaggle/input/imagenet1kvalid/00807/070885935167304.jpg,resnet18,32,807,9.9646,510,0.6924,5.2149,True,43,83,1.41
/kaggle/input/imagenet1kvalid/00898/891558962479244.jpg,resnet18,128,784,-1.7610,42,-5.5844,40.8577,True,96,40,1.33
/kaggle/input/imagenet1kvalid/00898/891558962479244.jpg,resnet18,64,784,-1.7610,502,-6.1658,12.2765,True,160,88,1.39
/kaggle/input/imagenet1kvalid/00898/891558962479244.jpg,resnet18,32,784,-1.7610,502,-6.3439,1.7876,True,144,92,1.33
/kaggle/input/imagenet1kvalid/00597/18883077536561.jpg,resnet18,128,597,1.0381,464,-4.7029,14.9960,True,12,46,1.41
/kaggle/input/imagenet1kvalid/00597/18883077536561.jpg,resnet18,64,597,1.0381,464,-3.6895,5.6272,True,33,72,1.41
/kaggle/input/imagenet1kvalid/00597/18883077536561.jpg,resnet18,32,597,1.0381,464,-3.0278,1.5130,True,32,56,1.33
/kaggle/input/imagenet1kvalid/00592/1230584405243724.jpg,resnet18,128,592,19.2503,922,-3.4628,14.9464,True,30,72,1.41
/kaggle/input/imagenet1kvalid/00592/1230584405243724.jpg,resnet18,64,592,19.2503,922,1.8823,6.2161,True,100,30,1.33
/kaggle/input/imagenet1kvalid/00592/1230584405243724.jpg,resnet18,32,592,19.2503,592,3.1715,3.1715,False,105,39,1.41
/kaggle/input/imagenet1kvalid/00366/90130485045422.jpg,resnet18,128,366,5.7538,48,-5.8678,39.1233,True,36,60,1.40
/kaggle/input/imagenet1kvalid/00366/90130485045422.jpg,resnet18,64,366,5.7538,367,-4.8464,12.0245,True,48,100,1.33
/kaggle/input/imagenet1kvalid/00366/90130485045422.jpg,resnet18,32,366,5.7538,373,-4.8069,5.4878,True,60,126,1.33
